Gene	sample 1	sample 2	sample 3	sample 4	sample 5	sample 6	sample 7	sample 8	sample 9	sample 10	sample 11	sample 12
AGPS	3	3	0	5	5	1	0	1	8	2	8	1
ZNF806	0	0	0	0	0	0	0	0	0	0	0	0
CXorf56	2574	2472	1908	1698	2614	2822	2625	2914	2521	2867	2654	3536
ATP1A2	3	3	3	3	2	3	1	1	0	2	2	6
TTC27	1964	2189	1959	2144	2161	2708	1890	2687	2346	2799	2378	2837
ZNF582	0	1	0	0	0	0	0	0	0	0	0	0
VSIG2	16	21	22	22	17	20	45	29	16	22	22	14
PHLDB1	1537	1804	1987	2223	1455	1960	1606	2023	1404	1809	1316	2051
MARCO	0	0	0	0	0	0	0	0	0	0	0	0
CYP24A1	84	118	48	51	39	51	63	72	29	61	50	104
PRDM11	418	486	409	381	325	321	404	317	270	294	241	264
SYT13	12	11	6	6	13	17	11	4	11	15	13	13
SNAI2	0	1	5	0	3	1	0	0	0	0	0	0
CD74	34	18	54	39	61	27	33	19	54	36	47	22
HGF	0	1	0	0	0	0	0	0	0	0	0	0
ZRANB1	3622	3861	2856	2694	4317	4116	4094	4265	4331	4992	4394	5762
NCDN	3477	4281	4511	5071	3806	4525	3716	4536	3365	4087	3319	4522
ADGRA2	25	22	13	12	8	16	5	19	6	16	5	10
CCT8L1P	0	2	0	0	0	0	0	0	0	0	1	2
ZFP64	1951	1977	1753	1694	2105	2189	2126	2223	1979	2187	2114	2621
MNAT1	5699	6002	5015	5073	6572	7405	6599	8199	6173	7124	7163	8588
SAMD4A	1975	2431	1279	1180	1283	1355	1234	1268	1560	1619	1365	2154
RUNX3	4	9	20	11	7	11	6	7	14	8	8	4
MRE11	1659	1676	1358	1203	1727	2097	1809	2203	1752	2193	1682	2301
PLEKHB1	1202	1378	1835	2034	2094	2435	2137	2654	1787	2013	1888	2275
SERPINB1	2760	3053	2988	3121	3620	4131	3457	4038	3131	3540	3385	4200
CYP3A43	3	2	0	1	0	5	4	5	2	1	2	0
SLC7A9	7	1	6	1	12	2	2	4	8	4	5	5
SPAST	728	625	546	321	714	693	773	567	722	678	714	1494
NRXN3	8	6	3	5	2	6	11	1	1	2	4	3
OSBPL5	589	801	733	816	556	890	634	809	588	862	563	848
AQR	4145	4688	4070	4136	3718	4320	3504	4432	3709	4675	3943	4639
CPS1	70	43	16	23	16	19	2	5	22	25	21	15
C8B	0	0	0	0	0	0	0	0	0	0	0	0
FHL1	2357	2463	2562	2313	3971	3621	3389	3739	3005	3228	2928	3338
RTFDC1	20833	23020	21274	24131	24016	27108	25432	28921	24195	26120	22145	27514
GABRA1	2	4	1	2	3	0	0	0	0	4	1	1
NLRP2	7	9	4	4	5	5	1	1	7	2	3	4
SLC45A4	1077	1443	1083	922	939	1028	876	790	793	907	710	937
RNF10	16107	18645	19408	20602	19996	20121	21494	23851	19545	21137	17807	21540
ZNF839	3323	3558	2952	2447	3197	3380	3275	3467	2630	3225	3141	3387
ZDHHC6	4382	3333	4757	2649	5556	3607	5302	3608	5340	3822	5305	3747
GRAMD1B	12	28	26	29	14	14	32	20	34	17	18	16
RNH1	13099	16245	13636	16746	11273	17740	12383	17698	10436	15098	9974	17939
NDUFS1	7550	8410	6743	7069	9156	10978	8264	11166	8227	9258	8114	9953
RB1CC1	843	920	681	499	1125	1215	1024	1088	1162	1491	1178	2135
ERP44	3637	2024	3416	1426	3505	2248	2698	1828	2823	1954	3244	1959
ALAS1	2998	3509	2690	3155	2713	3343	2767	3488	2458	2788	2571	3139
BIRC3	159	126	173	132	186	156	233	141	134	170	203	220
AKAP11	1513	1604	1069	797	1414	1523	1404	1188	1306	1560	1572	2553
GLRX2	4419	4953	4987	4823	4768	5333	5556	6537	5348	6483	6593	8479
SNAPC1	1196	1025	1129	759	1555	1271	1414	1366	1541	1551	1746	1763
DERA	2527	2443	2737	2605	3007	3166	3343	3362	3250	3106	3015	3758
STRAP	14193	16750	10616	10377	15530	16819	12990	17679	16178	18998	18353	23236
ABCC2	103	101	123	93	49	56	71	44	79	93	110	91
DEF6	1624	1854	1574	1714	1395	1644	1185	1420	1192	1327	1049	1357
PLEKHO1	1133	1164	1629	1690	1259	1291	1547	1497	1453	1462	1344	1539
GCLM	2186	2308	1576	1477	2383	2720	2412	2798	2438	2824	2466	3837
UBR2	2162	2266	2120	1979	2365	2451	2267	2415	2373	2601	2248	2634
EHD2	2414	2976	3334	3787	2724	3197	2724	3144	2849	3406	2804	4045
DEPDC1	1040	962	810	465	1670	1191	1202	1015	1412	1403	1481	1993
CCDC28A	604	608	659	593	789	797	730	845	840	848	841	945
RRAGD	429	340	475	359	369	333	639	578	504	472	707	691
HSF2	785	710	773	544	740	820	850	893	1009	1110	1023	1247
PHF20	2150	1987	2015	1618	2525	2294	2454	2224	2386	2242	2376	2604
HSD17B6	79	110	81	66	91	91	77	84	91	92	100	102
NR1H3	1072	1127	1096	1082	1449	1368	1236	1526	1441	1375	1160	1354
TYMP	212	366	439	496	345	465	341	464	300	343	289	478
NCAPH2	4670	5224	5519	6222	4720	6141	5076	6660	4261	5083	3769	5315
TOMM34	8404	8971	7549	8172	7058	7467	7187	8662	7163	7763	6913	8388
SEC63	4838	3909	3685	2231	4625	3412	3482	2571	4293	2903	4355	3512
KPNA6	4266	5517	4261	4749	5270	5973	5820	5747	5369	6232	4602	6374
VIM	14	19	26	37	13	25	4	37	36	29	26	32
RTEL1-TNFRSF6B	380	503	320	409	253	433	285	385	263	335	259	456
FAS	183	107	86	61	219	161	205	171	215	177	337	280
RNASET2	4098	2851	3868	2636	4179	3080	3464	2305	3226	2126	2873	1998
CD44	5781	5659	3092	2543	4064	3293	2867	2342	2905	2323	3548	2897
KCNG1	769	913	888	749	599	650	526	476	582	599	499	568
AGPAT4	0	2	2	3	1	0	0	0	0	0	0	2
SLAMF7	5	0	0	0	0	1	4	1	0	0	1	0
BTN3A1	23	24	22	31	37	42	28	34	42	38	59	50
MIPEP	1574	1461	1235	1104	1239	1441	1185	1591	1158	1452	1285	1534
PRKCH	2408	2859	1543	1589	2586	2966	2473	2988	2449	3158	2750	3652
INSRR	0	0	0	0	0	0	0	0	0	0	0	0
IFNGR1	921	560	712	414	797	550	607	460	738	557	823	591
B4GALT7	2192	1716	2318	1872	1603	1346	1561	1202	1415	1184	1391	1243
SH2D2A	76	52	47	87	63	59	59	37	67	48	33	31
VRK2	2042	2212	1636	1823	2268	2452	2091	2681	2497	3116	2824	3277
TNFRSF1B	3	2	0	1	0	5	5	4	2	4	1	1
VEZT	3602	3314	2192	1511	3332	2701	3134	2505	3237	2916	3670	3468
POU2F2	9	7	6	7	24	18	13	8	0	12	8	9
BRD9	3976	4685	4789	4459	3446	3961	4018	4338	3400	4038	3684	4350
SNX1	12407	13418	13877	13339	15676	18448	17158	20165	13543	15291	12846	16915
TBPL1	1200	1179	1013	796	1611	1315	1651	1578	1629	1856	2064	2214
ARNTL2	721	711	655	483	1044	760	1180	950	1042	976	1046	1005
BCLAF1	7142	7790	6017	5067	10430	11701	11143	12526	9606	12302	10802	18060
SLC39A9	9121	7923	7411	4669	10295	6125	8509	5621	8757	6799	10608	6856
ANK1	64	96	63	69	78	47	70	68	54	77	66	85
IBSP	17	11	18	7	7	19	42	14	16	18	35	14
TFB1M	655	650	1057	787	756	894	905	956	875	870	746	877
RABEP1	6182	7656	5606	5585	9156	9173	8661	10147	8457	10227	10085	11220
HMGB3	34834	36663	34026	33433	36811	36808	36588	37961	38094	37349	36497	41050
NUP160	4455	5146	3747	3046	4315	5194	4293	4916	4375	5012	4612	5776
BAK1	4688	4486	5913	5521	4864	4084	5148	4635	4929	4623	4703	4688
MUSK	0	0	0	0	0	0	0	0	0	0	0	0
IKZF2	186	179	139	95	196	194	261	202	239	275	213	507
GRN	11066	9458	9671	7676	8325	8317	5417	4519	3960	4381	4548	4329
FAM13B	1415	1564	998	839	1710	1533	1846	1779	1750	2049	1974	2928
ARHGAP31	13	16	28	20	33	11	6	11	23	16	23	16
CENPQ	594	690	351	238	663	709	716	759	652	803	864	1482
SARS	16500	17251	15764	17216	18337	23023	20985	25777	19140	21149	17956	22292
RANBP3	3968	4030	4546	4212	3762	3723	4223	4151	3778	3767	3373	4137
ARID4A	1284	1519	794	696	2089	2299	1909	2042	2510	2929	2557	3512
EIPR1	7098	7339	7641	8145	7826	8876	9496	10379	7662	8415	7281	9130
PNPLA6	909	1122	1098	870	740	799	489	603	666	608	532	605
IFT88	641	695	623	483	923	905	832	1010	859	1022	976	1319
ALG1	2924	2101	1631	1014	1847	1466	949	714	857	791	1308	911
ZCCHC8	2894	2835	2832	2323	3752	3226	3739	3610	3757	4073	3638	3949
ABCF2	9747	11316	11431	12655	9161	12019	9829	12496	9261	11311	8994	11826
CHPF2	1681	1557	1364	1122	1228	1298	867	968	761	849	843	836
LRRC7	9	12	4	4	1	6	8	3	2	5	11	9
FUT8	7088	6229	6726	4523	8924	6401	7791	6268	7683	6591	8760	6484
UBA6	1717	1682	1566	999	1962	1802	1882	1739	2077	2512	2482	3750
GAB2	1589	2179	1836	2182	1641	2258	1901	2607	1353	1872	1650	2508
ATP6V0A1	1709	1273	1287	872	1455	1197	1089	876	866	809	950	828
PIAS1	2638	2506	2678	2200	3219	3297	3254	3294	3362	3678	3341	3970
SLC4A7	445	377	298	128	471	342	404	232	479	435	461	895
APBA2	160	233	192	197	144	202	196	217	196	214	135	209
MAP2K3	6543	7611	6716	7922	6451	7189	7404	7884	6396	7974	6666	8612
EFCAB1	2	3	1	3	1	4	5	5	0	4	4	1
TMSB10	141260	105867	199072	165707	161967	104185	177412	115978	172472	104570	144393	102445
ASTE1	1130	1150	1330	1121	1431	1264	1231	1522	1423	1593	1412	1519
RNF19A	1394	1440	898	557	1513	1524	1706	1499	1533	1895	2038	3448
PEX3	1106	950	742	545	1153	1069	860	830	973	1069	1339	1058
GABARAPL2	7155	6260	5876	4672	9832	8748	10663	9755	8099	8031	9057	9400
MYOC	0	0	0	2	4	0	0	0	0	0	0	0
SH3YL1	3756	3792	3438	2998	6185	6376	7324	7593	5533	6148	5805	8604
FAM136A	13260	12494	14522	12346	16709	14230	16376	15858	15648	14910	16452	15219
VCL	2439	2619	1610	1255	2264	2138	1880	1782	1932	2196	2269	2543
DEPDC1B	1281	1366	872	825	1630	1829	1382	1658	1606	1754	1606	1892
DAPK2	1017	1080	837	890	776	847	909	995	798	912	751	1020
NSMAF	2754	2889	2493	2289	2965	3044	2876	3495	2872	3242	2798	3455
ADSS	2808	3118	2234	1718	3255	4014	3433	4204	3349	4690	4024	5576
STAP1	1	0	0	0	0	0	0	0	0	0	1	0
TIMP2	2032	1768	1891	1422	1729	1476	1202	918	1701	1364	1542	1331
RFC1	4512	5180	3863	3230	4873	5119	4992	5668	5213	5962	5548	6527
TBC1D23	1039	960	598	500	1563	1643	1468	1553	1534	1874	1895	2766
CUL3	6357	6813	4976	4961	7165	7988	7363	8396	6814	8492	7415	9923
MYOM2	0	0	0	1	0	1	0	3	0	0	3	0
OTC	0	0	0	0	0	0	0	0	0	0	0	0
CYP46A1	118	165	75	62	141	86	119	110	66	89	111	136
ZZZ3	2024	2063	1430	1343	2279	2268	2088	2232	2187	2488	2531	3442
SLC18A1	0	0	0	0	0	0	0	0	0	0	0	3
USP2	774	766	886	767	791	672	796	641	690	732	749	720
CASR	111	118	114	77	155	140	157	188	118	142	153	137
TUBG2	787	711	674	525	792	698	773	769	814	740	696	806
RPL26L1	14003	12989	16696	15498	15598	12672	14807	14496	15500	12918	14759	13091
FLT4	354	341	436	435	203	292	252	331	290	367	270	347
NSUN2	12325	13069	11181	10229	10259	12251	10706	12530	10476	11913	11161	14390
FBXO42	1720	1793	1736	1573	2226	1870	2147	2131	2089	2073	2125	2174
MFAP3	219	203	157	120	307	240	205	176	176	227	302	289
MRI1	949	874	850	769	1200	1178	1054	1082	988	1180	954	1254
METTL1	6071	6034	7241	7750	5510	5897	5904	6361	6079	5658	5535	6098
HOXC8	181	210	252	244	263	253	252	240	246	247	206	308
AGA	772	451	601	285	802	456	595	364	625	428	709	462
PI4K2B	1841	1751	1892	1195	2484	2351	3163	2378	2500	2601	2714	4405
BOD1L1	1400	2031	1006	1058	1267	1582	1036	1375	1184	1573	1321	1683
MAT2B	3130	3667	1927	2093	2887	3657	3027	3346	3127	3657	3262	6165
TLL1	0	3	0	0	0	0	0	0	0	1	3	4
EDC4	4454	5659	4290	5104	4123	6076	4103	5878	4002	5480	3469	5598
TRIO	2476	3114	1839	1704	2197	2709	2110	2319	2151	2541	2220	2901
VCAN	2	12	21	20	6	20	9	11	10	15	15	27
CLEC16A	2481	3047	2649	2640	1988	2220	2001	2094	1699	2113	1639	2327
MSR1	17	42	21	15	25	11	14	21	11	13	12	26
CDH1	28704	25631	18237	13488	23357	20608	15349	12139	13639	13531	16685	15923
SKIV2L2	4619	5399	3804	4012	4868	5807	4032	6172	4639	6718	6139	7226
DNAH5	125	159	125	102	185	198	154	170	133	196	184	205
ZFYVE16	1619	1542	1367	764	1705	1505	1890	1442	1784	1747	1822	2310
RIPOR1	4604	5661	4693	4637	4255	5292	3768	4888	4189	5309	3333	5227
C6	0	0	0	1	0	1	0	0	0	0	0	1
RAI14	1250	1363	1126	1087	1209	1181	1269	1274	1349	1428	1353	1684
SOX30	0	2	1	3	2	1	0	2	6	1	1	4
PNKP	1905	2200	2456	2472	2291	2733	2872	3125	1503	2102	1608	2345
BEST2	17	7	11	6	23	7	10	6	12	8	7	5
PHLPP2	2081	2778	1865	1854	2596	2318	1982	2446	2301	2821	2601	3234
SPDL1	2502	2560	2139	1835	3035	3289	2556	3322	2904	3837	3345	4068
STAU2	1512	1503	1437	1149	2278	2273	2253	2323	2371	2506	2208	3002
PQLC2	985	1027	1254	937	792	768	793	706	716	697	811	784
CTNS	716	567	546	397	600	448	511	363	554	417	511	380
RTN4R	487	479	471	344	279	252	232	185	255	235	215	262
PHF23	7197	7062	8704	8229	9116	9583	10091	10604	9060	9474	8646	10241
CDH10	0	2	0	2	0	0	0	0	1	0	0	1
INPP4A	1572	1857	1247	1246	1563	1740	1580	1681	1577	1687	1409	1824
RAB27B	1655	1622	1442	1173	2314	2251	2514	2307	2142	2410	2271	4213
PSMA4	40401	47471	40808	45434	59959	68340	51033	74425	61667	71398	66372	74485
MYO16	256	209	212	196	243	193	280	262	228	174	231	279
LSG1	7078	6538	5870	4576	6035	5136	4665	4308	5581	4904	5472	4980
PARP3	739	746	824	707	724	701	791	881	731	735	848	904
TNC	13	19	9	6	4	9	3	2	10	4	15	7
THAP3	1011	910	1169	1025	1030	1107	1066	1213	1185	1140	985	1178
RIPOR3	367	398	368	373	304	365	276	296	245	307	198	275
TDP1	4244	4333	4301	3660	5639	5473	5568	6216	5595	5702	5186	5499
AIFM2	6796	7471	8373	9364	6666	8192	6919	8713	6359	7516	5785	7877
C2orf83	2	2	1	3	3	1	0	0	0	6	4	0
SPATA7	970	845	860	805	1388	1211	1058	1336	1187	1352	1427	1359
MED17	1231	1395	989	874	1530	1877	1480	2126	1681	2386	1949	2493
RETSAT	1969	1506	1788	1158	1833	1425	1317	950	1241	1027	1399	1043
CAPG	1118	1254	1735	1952	1713	2169	1612	1885	1454	1679	1203	1683
AP2S1	27551	27464	32814	32887	32641	32313	39760	38401	30618	30573	30569	35014
USH2A	3	2	17	9	11	3	3	4	17	7	8	7
ZPBP	0	2	1	0	0	0	1	0	0	0	3	1
TG	8	1	4	3	1	0	0	3	0	1	5	3
ADAM28	3	4	2	3	3	2	5	4	1	4	1	1
BARX2	396	471	389	458	469	385	489	414	495	459	435	565
DCUN1D1	2470	2327	2586	1921	3108	2751	3630	2873	3408	3487	3481	5418
JADE2	5176	5991	5268	5203	6123	6150	6565	6475	5407	5904	5254	6593
ZIC2	428	443	427	389	446	441	388	394	358	442	386	562
LCP2	1	1	0	0	0	0	0	0	0	2	0	1
TRIT1	1218	1003	1336	906	1344	1160	1427	1179	1491	1334	1468	1238
ADRB1	69	67	70	55	89	67	143	97	70	91	127	96
GUCA2B	2	0	10	10	5	1	5	2	7	4	4	3
CUL7	2519	3304	2724	2862	2548	3447	2624	3543	2163	2766	1990	2922
CTNNA1	29079	32171	24984	24604	27731	32856	26527	31434	26603	30925	23959	31924
PHKA2	2107	2334	1985	1997	2208	2834	2192	2730	2008	2405	1856	2345
CNTLN	8	4	10	12	11	2	5	5	10	6	9	14
EPHA3	6	4	1	0	5	4	7	7	11	6	23	14
HSPA5	31693	27059	25568	19232	31345	25600	17506	15864	17902	15101	17741	13349
DSG2	1812	1631	1133	559	1369	1117	1004	527	998	814	1102	1022
GEMIN8	1066	1228	1379	1574	1351	1758	1500	1826	1350	1468	1246	1622
OFD1	2116	2133	2886	2096	2377	2461	2424	2805	2597	2595	2361	2536
GPM6B	28	28	8	4	18	15	10	10	17	23	23	23
MAGEC2	0	0	0	0	0	2	0	0	0	0	0	1
PREX2	6	3	3	1	0	2	8	1	1	2	5	5
WDR37	1695	1771	1165	957	1722	1727	1796	1994	1681	2090	2013	2603
YTHDC2	1079	1066	723	424	1102	993	1189	1059	1011	1120	1111	1657
CTPS2	3854	3977	3869	3585	5196	5943	5296	5945	5152	5082	4529	5189
ATP6V1H	2407	2669	2039	2088	3042	3945	2950	4062	2697	3647	2903	3903
POLR2B	9145	10734	6811	6845	9814	12571	8761	13015	8761	11657	9189	11738
FAM214A	2358	2376	1274	835	2692	2865	2523	3209	2502	3629	3634	4873
ARAP2	339	389	240	180	318	331	351	331	359	401	379	605
TPR	12877	15993	10452	9816	13720	14423	11821	13419	11423	12159	10596	11179
CP	21	11	11	3	7	3	20	1	3	6	10	4
KIAA0556	2233	2544	2266	2306	2303	2718	2499	2998	1968	2550	1987	2643
DTNBP1	3187	3209	2794	2889	3339	3896	3573	4226	3177	3495	2948	3673
XK	158	154	87	61	148	140	137	88	141	141	146	153
ANO2	30	15	15	16	26	21	28	23	21	17	18	15
C12orf4	921	925	778	548	1086	1017	970	1168	1145	1252	1341	1386
SCML1	608	560	387	162	491	502	664	474	533	569	629	1044
WWC3	6446	7346	6432	5809	6126	6273	5820	6006	5776	6609	5768	7133
ARHGAP6	0	0	0	0	2	1	0	2	0	1	3	2
FAM184B	19	27	24	30	27	12	19	10	13	14	19	17
MAP4	11917	14818	12898	14749	11195	14815	11987	15554	10631	13769	9910	15180
GOPC	1657	1445	1470	1061	1870	2006	2124	1962	2075	2405	2405	3696
ROS1	0	0	0	0	0	0	0	0	0	0	0	0
USP28	842	932	736	751	1207	1200	1197	1302	1310	1397	1225	1434
HDAC9	1038	979	624	421	324	304	424	320	269	298	288	440
TSPAN17	8849	7562	6279	4739	7262	4978	6926	4854	5575	4753	6277	4432
NOP16	19858	19216	25170	25035	18880	18016	21539	21861	19410	18918	19321	20348
CC2D2A	879	872	908	770	756	743	809	704	928	788	869	884
RRM2B	3365	2943	2706	1711	3782	3173	4382	3295	3760	4226	4928	6447
ZNF800	737	610	569	394	950	900	1065	850	974	1057	930	1604
TNFRSF17	0	0	0	0	3	0	0	0	0	0	0	1
SNX29	776	936	824	844	852	801	713	806	832	839	652	823
LMO3	141	98	94	48	36	34	81	41	63	47	73	70
MRPS10	5057	5045	4235	3717	5607	5264	5771	5990	5566	5932	6602	7766
GUCA1A	0	0	0	0	0	0	0	1	0	0	0	1
RSF1	2014	2613	1804	1674	2448	2602	2599	2540	2649	3321	2825	4109
VPS13D	2653	3356	2393	2530	2920	3763	2794	3397	2378	2887	2443	3405
CELF2	0	1	0	0	0	1	0	0	0	2	0	0
FAM120A	13530	13435	13462	9301	14866	13937	17543	14413	14894	14470	14534	23192
R3HDM1	3435	4059	3200	2911	4573	4138	4456	4474	4778	5260	4660	6420
COL9A2	678	829	873	935	635	693	554	634	559	610	473	699
KITLG	5648	4925	5769	3356	5332	4343	6205	3985	5122	5359	5682	8764
ERCC8	849	827	765	581	892	781	1022	932	1133	1184	1227	1399
ADAMTS6	2	19	14	6	7	8	25	9	13	8	6	13
H6PD	609	858	546	517	491	612	342	336	291	405	329	453
VAMP3	3289	2911	2797	2171	4810	3250	5065	4360	4588	4104	5339	5105
PER3	830	882	904	684	1494	1371	1583	1291	1173	1440	1457	2262
UTS2	0	0	0	0	3	0	0	0	0	0	0	0
TNFRSF9	11	5	12	12	19	8	10	4	5	16	3	14
EPN3	11490	13091	13012	14815	10611	12368	11683	13976	9686	11856	9334	12628
LTBP1	1985	1916	989	857	1245	1254	882	759	899	893	842	894
RCN1	4640	2383	4210	1680	3978	2169	3437	1463	3088	1749	3635	2321
ELN	2	4	6	5	1	3	3	4	3	3	6	0
RFC2	13288	13331	15339	15606	16305	16888	18692	21357	16992	16563	16312	16949
ARID1B	1504	1926	1228	1367	1702	1838	1511	1834	1339	1786	1531	2251
CLPTM1L	10957	9499	8837	6591	8830	6936	8087	6187	7038	6344	7747	6188
NEDD4L	2073	2206	1900	1685	2009	2275	1836	1919	1711	2179	1660	1930
FOXP3	257	226	302	231	171	124	197	188	160	141	133	188
PPP1R3F	683	752	810	794	600	691	683	745	438	587	419	612
HEXB	7354	4171	5962	2907	5885	3735	3818	2461	3962	2597	4951	2718
PTCD2	1199	1186	1064	921	1255	1105	1138	1086	1070	1314	1260	1632
NEXMIF	97	104	46	33	106	138	131	140	124	114	148	250
JKAMP	3200	2132	2139	1084	3508	2540	2856	2033	3092	2716	4089	2749
DKK3	0	2	0	1	0	1	2	0	0	1	1	0
ARHGEF5	2107	2733	2128	2707	2338	3013	2423	3273	2460	3113	2162	3124
NFE2L3	924	879	739	435	745	595	463	453	496	558	649	674
MCUR1	6108	4983	6741	4917	6258	4592	7095	5175	6629	6097	7165	5581
LIMA1	1938	1811	1081	762	2727	2360	2440	2127	2205	2332	2312	2461
LETMD1	3178	3132	2876	2058	3569	3066	2897	3338	3189	3486	3930	3478
SLC4A8	574	708	477	386	460	424	457	480	518	532	539	587
LAMC3	27	30	11	19	24	31	17	15	3	12	15	14
PTGER3	106	78	74	69	130	91	122	96	118	92	110	113
TNIP3	7	4	2	2	6	4	5	8	2	3	2	9
MAPK9	8318	8749	5518	4804	11039	10614	11508	12931	9738	11499	11172	13338
COL23A1	28	20	22	19	21	28	20	21	24	22	17	10
BCAR1	8306	10992	10076	12705	7425	10735	7421	10312	7049	10549	6470	11444
FAM160A2	815	932	928	902	741	892	774	884	774	851	672	967
HERPUD1	2073	1877	1766	1371	2811	2489	2849	2472	2641	2429	2805	2591
HOMER3	1267	1491	1675	1810	1097	1199	1042	1253	1038	1295	1081	1425
RAD51	4396	4932	4509	4562	5195	5939	5520	6903	5803	6466	5633	6797
POLQ	2383	2962	1953	1543	3097	3096	2790	3017	2875	3235	2810	3387
PIK3CB	3074	3106	2579	2134	4238	3567	3939	4230	3890	4172	4487	5508
CYBA	16153	13112	17807	13288	15245	12223	12348	7702	11480	8526	12009	8982
THOC3	10412	12015	10038	12902	9635	12558	9751	13677	9513	11786	9164	13060
HEBP2	6200	7350	7048	7572	8849	9434	8858	11520	8113	10354	9383	10779
MPHOSPH9	2099	2331	1966	1314	3731	3262	3564	3528	3332	3549	3650	3591
PLEKHA5	868	1014	743	596	1068	1060	1169	1090	1059	1203	1043	1436
PRSS8	6651	4679	5900	4131	4908	4326	3759	3071	3536	2801	3738	3149
SIKE1	8614	9579	9676	9133	10436	10628	11425	11461	11144	11027	10902	13805
RRP12	5717	7070	5569	7131	3314	4394	3503	4517	3664	4728	3428	5180
FNIP2	199	188	133	79	257	216	263	222	210	248	222	445
MSMO1	2638	1577	2013	954	1478	913	1342	672	1385	1082	1632	1299
TTC17	1959	1731	1747	1191	1735	1354	1684	1199	1398	1350	1635	1353
ALX4	2	11	8	9	0	8	1	8	0	5	3	10
FSTL4	88	101	129	138	64	54	46	58	57	50	77	48
FOXN3	1425	1486	1331	1140	1665	1344	1691	1356	1448	1468	1363	1581
METTL24	0	2	0	0	0	0	0	0	0	0	0	0
AKR7A2	5426	6344	5652	6522	6377	8731	7285	9502	5727	6945	5611	8016
MRTO4	9750	10064	12210	12811	9095	9654	10676	11203	10724	10997	9718	11414
NNAT	1	3	2	0	1	1	1	3	6	3	2	0
USE1	1753	1923	2261	2479	1656	1854	1811	2068	1674	1644	1434	1723
MCF2L2	100	87	85	76	73	80	84	99	97	81	89	105
NRIP2	53	60	30	28	32	51	23	40	29	40	22	39
LAMA3	245	302	184	169	135	196	180	150	164	168	152	163
AP5M1	3155	3405	2884	2389	3774	4317	4220	5082	4069	5240	4778	8133
ANAPC4	2242	2407	2656	2276	2621	3041	2430	3088	2581	3189	2775	3568
KCNQ1	7	33	42	34	13	31	36	19	10	22	17	18
TRAPPC3	5946	5992	7994	7452	7745	7013	8071	7230	8478	7262	7518	7074
THRAP3	8957	10449	9279	9544	10368	11831	10311	11298	9661	10982	8607	11709
PHPT1	12730	12533	16265	17259	12383	11326	14159	12758	11235	10639	10316	11694
ENTPD2	1168	1022	1080	783	1054	926	725	627	676	580	756	629
LY75	1	1	1	1	1	3	2	0	1	0	2	1
ARID4B	1382	1850	819	805	1712	1612	1534	1529	1815	1962	1734	2527
OPN3	572	488	747	464	906	527	796	393	745	523	744	447
SDCCAG8	841	797	879	670	1095	1054	1250	1210	1071	1065	1095	1112
PTPRN	5	6	13	17	9	18	29	29	34	29	60	37
HHAT	123	97	84	69	144	93	121	101	126	84	117	104
KIF1B	1465	1688	1321	1354	1547	1999	1504	1767	1715	1857	1492	2368
FOXC1	399	473	510	400	493	447	392	382	391	433	380	591
TBC1D22A	1417	1602	1788	1938	1829	2227	2259	2409	1571	1989	1597	2085
SYNE2	4199	5756	3534	3640	4588	6490	3670	5147	3895	5390	4464	5958
PLEKHH1	1667	2019	1411	1239	1973	2033	1625	2052	1619	1786	1626	1892
ATP9A	4941	5599	3197	2697	6030	5259	4450	3701	3911	4149	4536	4384
SPO11	0	0	0	0	0	0	0	0	0	0	0	0
CBLN4	0	0	0	0	0	0	0	0	0	0	0	0
CHRDL2	4	4	0	0	0	0	0	0	0	1	1	0
FAM168A	4247	4991	4536	4961	4826	5466	5114	5487	4354	5004	3960	5242
RELT	800	680	607	521	520	501	541	520	549	546	564	587
GALC	1428	1116	983	560	1909	1555	1061	919	1196	1092	1273	1230
NOP58	15290	15420	14552	13923	17419	17453	14766	19207	17549	18333	17323	17510
SZRD1	13019	11288	14255	11254	12642	8852	14321	10593	12050	10257	11623	10363
KCNH2	489	518	349	380	344	389	449	380	412	410	365	481
CUL1	8139	8761	9371	8282	9573	10587	10008	11580	10207	11112	9934	11257
FAM114A2	1209	1191	916	840	1261	1175	1293	1307	1185	1229	1202	1601
CYFIP2	2888	3385	2595	2805	3223	3353	3353	3878	3035	3360	2850	3553
TAB2	3270	3587	2037	1645	5169	4434	4634	4962	4956	5894	5959	6840
GINM1	1552	990	1330	626	1825	1173	1369	848	1575	1083	1948	1143
EIF2AK2	6262	7071	11025	10061	11190	12518	12637	13476	12141	15256	14276	24189
USP36	5086	5968	5074	5237	4267	4899	4298	4956	4238	5203	4255	5859
KMT2C	2435	3312	1608	1594	2260	2725	2336	2193	2138	2648	2110	4176
MCOLN3	65	33	37	20	58	46	39	28	25	32	42	54
CCDC85A	1	2	6	0	2	0	6	0	0	3	2	0
PUM2	5805	5669	4839	2988	7239	6386	7123	6353	7248	7555	8045	11157
MRPL43	8778	8548	10324	10592	8879	9669	10179	10330	8610	9005	8216	9807
ITIH4	23	21	20	13	18	7	35	20	14	17	10	14
ITIH1	7	2	12	1	3	1	5	0	2	1	1	1
HPF1	2497	2650	2782	2792	2995	3619	3346	3968	2933	3935	3619	4640
ZFR	2962	3330	1868	1499	2971	3345	2681	3204	3069	4096	3481	6123
ZNF280C	322	291	302	205	259	245	289	247	327	342	294	446
